alcaldia,intensidad,area_m2,perime_m
Iztapalapa,Muy Alto,65875.27295,1042.02618
Iztapalapa,Muy Alto,361328.904,3287.155109
Iztacalco,Muy Alto,105996.3757,1315.958025
Iztacalco,Muy Alto,108832.5748,1564.226107
Iztapalapa,Muy Alto,278523.3971,2161.817167
Iztapalapa,Muy Alto,387899.4532,2947.119144
Iztapalapa,Muy Bajo,204376.4956,2433.663805
Iztapalapa,Muy Bajo,173241.2739,2008.386743
Iztapalapa,Muy Alto,180374.6229,1983.814016
Iztapalapa,Muy Alto,246770.5541,2868.462688
Iztapalapa,Muy Alto,105373.5486,1634.269879
Iztacalco,Muy Alto,198781.7067,2040.641867
Iztapalapa,Alto,75528.45654,1331.335227
Iztapalapa,Muy Alto,91890.67141,1230.080838
Iztapalapa,Alto,179264.7245,2643.211745
Iztapalapa,Muy Alto,136670.316,1989.039394
Iztapalapa,Muy Alto,274561.5058,2177.247474
Benito Juárez,Muy Alto,152424.9993,1888.240965
Benito Juárez,Alto,159743.594,1937.902239
Xochimilco,Muy Bajo,126699.4112,1527.86934
Benito Juárez,Muy Alto,182431.1705,1914.020142
Benito Juárez,Muy Alto,157838.9052,1652.635142
Benito Juárez,Muy Alto,271395.7429,2332.222868
Xochimilco,Muy Alto,258083.3778,2443.102473
Benito Juárez,Muy Alto,125468.5471,1726.719429
Benito Juárez,Muy Alto,132146.045,1492.719997
Xochimilco,Muy Bajo,696725.3246,4017.185066
Tláhuac,Muy Alto,153875.666,1582.332718
La Magdalena Contreras,Muy Bajo,138059.9111,1562.572571
La Magdalena Contreras,Muy Bajo,855615.415,4611.948451
Álvaro Obregón,Muy Bajo,1419898.084,9730.86152
Tlalpan,Muy Bajo,479335.5759,3829.1075
La Magdalena Contreras,Muy Bajo,441459.5585,3236.850761
Iztapalapa,Muy Alto,94453.31643,1270.265786
Álvaro Obregón,Muy Bajo,452299.4661,3235.557719
Álvaro Obregón,Muy Bajo,43866.42048,863.8405516
Tlalpan,Muy Bajo,336119.6675,3150.395297
Iztapalapa,Medio,128253.9723,1745.173263
Tlalpan,Muy Bajo,658494.7691,5510.95074
Tlalpan,Muy Bajo,106374.4923,1558.321368
Tláhuac,Muy Alto,52308.16082,940.0584538
Tláhuac,Muy Alto,504313.932,2977.408256
Álvaro Obregón,Muy Bajo,193535.025,2693.249735
Tlalpan,Muy Alto,144888.039,1575.055285
Tlalpan,Bajo,241311.1416,2258.401173
Iztapalapa,Muy Alto,341144.7553,2650.294586
Gustavo A. Madero,Muy Alto,913730.6151,5960.371698
Tlalpan,Muy Bajo,1610146.41,7296.403058
Xochimilco,Muy Alto,238466.5329,2520.749413
Tlalpan,Muy Bajo,641031.8247,3976.205437
Iztapalapa,Muy Alto,151116.1856,1920.413157
Tlalpan,Muy Alto,319015.8337,2715.16361
Tlalpan,Muy Alto,68605.81676,1543.379368
Gustavo A. Madero,Muy Alto,97217.0244,1377.28403
Iztapalapa,Muy Alto,350414.1686,2827.416617
Tlalpan,Muy Bajo,1442846.597,5666.992356
Tlalpan,Muy Bajo,186783.2046,2610.175707
Azcapotzalco,Alto,562941.7304,3139.907644
Gustavo A. Madero,Muy Alto,479855.6568,3038.22
Gustavo A. Madero,Muy Alto,246702.8329,2537.916139
Gustavo A. Madero,Muy Alto,81305.70976,1368.073535
Gustavo A. Madero,Alto,184737.1653,2169.667875
Iztacalco,Muy Alto,325932.6184,2413.198561
Gustavo A. Madero,Muy Alto,302534.6764,2310.817143
Gustavo A. Madero,Muy Bajo,160183.9773,1789.78683
Gustavo A. Madero,Muy Alto,243097.8585,2179.294683
Coyoacán,Muy Alto,285177.2471,2746.625077
Cuajimalpa de Morelos,Muy Bajo,1580757.502,8304.422
Coyoacán,Muy Alto,561840.9212,4900.701564
Coyoacán,Muy Alto,385043.6846,2883.085477
Gustavo A. Madero,Muy Bajo,469452.4075,3137.012726
Gustavo A. Madero,Muy Bajo,296750.578,2836.859015
Gustavo A. Madero,Muy Alto,325043.3502,2739.956438
Gustavo A. Madero,Muy Alto,234706.3751,2450.257015
Gustavo A. Madero,Muy Alto,275322.3362,2384.938632
Gustavo A. Madero,Muy Alto,260343.1194,2370.423866
Coyoacán,Muy Alto,648709.9321,4095.945575
Coyoacán,Muy Bajo,162605.4703,1820.106534
Gustavo A. Madero,Alto,210646.9257,2294.024115
Iztapalapa,Muy Alto,110611.0898,1679.821404
La Magdalena Contreras,Muy Bajo,421067.573,3173.104487
Azcapotzalco,Alto,364787.9995,3504.01832
Azcapotzalco,Alto,180275.6365,1800.371783
La Magdalena Contreras,Muy Bajo,328808.6544,2627.700964
La Magdalena Contreras,Bajo,106332.9728,1667.974493
La Magdalena Contreras,Muy Bajo,887766.1682,5053.071974
Iztapalapa,Muy Alto,392251.8237,3082.103288
Coyoacán,Muy Bajo,619574.9114,3527.724607
Álvaro Obregón,Muy Bajo,268573.5656,4760.736458
La Magdalena Contreras,Muy Bajo,453132.6035,3253.787452
Iztapalapa,Muy Alto,189464.7553,1971.96666
Iztapalapa,Muy Alto,274503.718,2199.689667
Venustiano Carranza,Muy Alto,152597.966,1695.078475
Venustiano Carranza,Alto,305100.9718,2978.992809
Miguel Hidalgo,Muy Bajo,507609.6519,4300.327991
Venustiano Carranza,Muy Alto,174357.8326,1751.841148
Cuauhtémoc,Muy Alto,41341.05546,816.6969578
Cuauhtémoc,Muy Alto,225968.8322,1903.179968
Venustiano Carranza,Muy Alto,270144.3356,2488.987814
Venustiano Carranza,Muy Alto,89973.93759,1227.356089
Cuauhtémoc,Muy Alto,98429.84319,1385.492439
Cuauhtémoc,Muy Alto,205580.2138,1843.898046
Venustiano Carranza,Muy Alto,183094.5416,1870.59716
Venustiano Carranza,Muy Alto,208109.1467,1910.358191
Azcapotzalco,Muy Alto,256812.1635,2205.84865
Cuauhtémoc,Muy Alto,320495.789,3027.553439
Cuauhtémoc,Muy Alto,202360.6448,2190.992761
Cuauhtémoc,Muy Alto,111518.7237,1485.444743
Benito Juárez,Muy Alto,204138.9159,2968.479556
Iztacalco,Muy Alto,124790.3272,1493.054252
Iztacalco,Muy Alto,317065.6428,2517.558828
Gustavo A. Madero,Alto,134347.5488,1520.138035
Iztacalco,Muy Alto,99024.64367,1292.602254
Gustavo A. Madero,Muy Alto,279455.6586,2364.002915
Iztacalco,Muy Alto,222491.158,2069.307963
Gustavo A. Madero,Muy Alto,144228.2498,1769.433726
Cuauhtémoc,Muy Alto,221512.7993,2118.160212
Cuauhtémoc,Muy Alto,215700.9996,1886.711162
Cuauhtémoc,Muy Alto,178385.2802,1711.063232
Gustavo A. Madero,Bajo,113968.1812,1596.07031
Gustavo A. Madero,Alto,273484.1932,2099.59696
Gustavo A. Madero,Muy Alto,175357.6393,2418.574858
Gustavo A. Madero,Muy Alto,329191.218,3408.677854
Gustavo A. Madero,Muy Alto,194455.0364,1781.964615
Gustavo A. Madero,Alto,213525.0608,2090.253146
Iztacalco,Muy Alto,91354.43394,1267.799178
Venustiano Carranza,Muy Alto,90359.78295,1331.584853
Venustiano Carranza,Muy Alto,245535.9631,3259.69402
Venustiano Carranza,Muy Alto,329848.7563,2440.186438
Venustiano Carranza,Muy Alto,179556.0779,2046.770141
Venustiano Carranza,Muy Alto,119752.6571,1855.802246
Miguel Hidalgo,Muy Bajo,305380.2156,2744.417056
Cuauhtémoc,Muy Alto,221640.8342,2293.684461
Cuauhtémoc,Muy Alto,280301.6677,2168.446111
Venustiano Carranza,Muy Alto,200873.5192,2171.506636
Miguel Hidalgo,Muy Bajo,236483.3678,2269.479867
Miguel Hidalgo,Bajo,384222.6944,3404.805201
Xochimilco,Alto,113983.7968,1653.405966
Xochimilco,Muy Alto,3171486.804,9228.911872
Benito Juárez,Muy Alto,159759.0189,1696.140324
La Magdalena Contreras,Muy Bajo,681039.8986,3698.079199
Tláhuac,Muy Alto,174012.0698,2116.287552
Xochimilco,Muy Alto,116137.4139,1509.047851
Tlalpan,Muy Alto,254362.2725,2125.721255
Tlalpan,Muy Alto,84076.58681,1266.650268
Tlalpan,Muy Bajo,347677.4885,2477.904178
Tlalpan,Muy Bajo,297490.9077,2723.427018
Tlalpan,Muy Bajo,252220.1455,2782.752999
Tláhuac,Alto,1016154.658,5271.971921
Iztapalapa,Muy Alto,43090.81018,1270.486146
Tláhuac,Alto,147841.7976,1552.053937
Tláhuac,Alto,460870.1837,2865.797069
Álvaro Obregón,Muy Bajo,1386263.867,5104.894897
Iztapalapa,Medio,128253.9723,1745.173263
Xochimilco,Muy Bajo,648324.9223,3913.653311
Tlalpan,Muy Alto,47630.6455,886.4717304
Álvaro Obregón,Muy Bajo,265785.6882,2964.868727
Álvaro Obregón,Muy Bajo,472477.8148,3419.555841
Álvaro Obregón,Muy Bajo,326495.6631,3037.738822
Tlalpan,Muy Bajo,1376269.767,6847.770982
Benito Juárez,Muy Alto,123522.8382,1794.429537
Xochimilco,Alto,726107.193,4849.029938
Xochimilco,Muy Bajo,150087.66,2067.290704
Benito Juárez,Muy Alto,202062.4083,2113.713857
Xochimilco,Alto,113983.7968,1653.405966
Benito Juárez,Muy Alto,377818.191,2670.663425
Benito Juárez,Muy Alto,398653.6074,2609.193045
Xochimilco,Muy Alto,46474.08318,891.4327835
Álvaro Obregón,Muy Bajo,288017.1708,3017.861357
La Magdalena Contreras,Bajo,285429.6992,2755.008007
Xochimilco,Muy Alto,168118.1331,1913.590048
Xochimilco,Muy Bajo,642972.8066,3820.273215
Tlalpan,Muy Bajo,277634.599,2375.741478
Xochimilco,Alto,388138.6741,4336.41617
Tlalpan,Bajo,118347.6122,1477.922947
Álvaro Obregón,Muy Bajo,243574.5901,3481.722101
Tláhuac,Alto,289123.418,2316.368751
Álvaro Obregón,Muy Bajo,74748.90829,1503.635194
Álvaro Obregón,Muy Bajo,1299223.355,5572.257194
Álvaro Obregón,Muy Bajo,234699.5405,2343.330376
Tláhuac,Muy Alto,282236.5634,2150.620644
Tlalpan,Muy Bajo,481010.5677,3408.882606
Iztapalapa,Muy Alto,124843.7341,1661.458292
Tlalpan,Muy Bajo,331818.0648,2871.988853
Xochimilco,Muy Bajo,648324.9223,3913.653311
Tlalpan,Muy Bajo,458892.3261,4349.015672
Tláhuac,Medio,256316.4374,2238.404768
Tlalpan,Muy Bajo,399566.4626,3946.560879
Tláhuac,Muy Alto,1509763.234,5159.553452
Tláhuac,Muy Alto,287953.7506,2756.626671
Tláhuac,Muy Alto,140747.1816,1841.629974
Tlalpan,Muy Bajo,321067.8646,3071.236842
Tlalpan,Muy Alto,355764.6209,2857.480871
Tláhuac,Alto,155320.4504,1627.2705
Álvaro Obregón,Muy Bajo,317434.2926,2569.507426
Tláhuac,Muy Alto,395016.1981,3006.232066
Iztapalapa,Muy Bajo,163953.294,2216.653832
Iztapalapa,Bajo,118885.6718,1590.295206
Álvaro Obregón,Muy Bajo,221524.4617,2328.762058
Milpa Alta,Muy Bajo,168602.4532,2117.791487
Iztapalapa,Muy Bajo,418424.5602,3005.240397
Álvaro Obregón,Muy Bajo,350210.6395,5526.796343
Iztapalapa,Muy Alto,92707.72785,1391.512522
Iztapalapa,Muy Alto,89903.83632,1284.567709
Iztacalco,Muy Alto,228158.9174,2129.956139
Iztapalapa,Alto,481645.8095,3179.239045
Iztapalapa,Muy Alto,597067.1474,3977.623044
Iztacalco,Muy Alto,185571.4281,1973.353697
Iztapalapa,Muy Alto,320198.7122,2834.769192
Iztapalapa,Muy Alto,365979.0236,2980.954784
Iztapalapa,Muy Alto,407647.507,2774.514923
La Magdalena Contreras,Muy Bajo,259830.2436,2690.151668
Iztapalapa,Muy Bajo,542540.9666,3511.962782
Milpa Alta,Alto,873442.9606,6424.938769
Iztapalapa,Muy Alto,14792.78338,602.0629286
Iztapalapa,Muy Bajo,169236.9049,3173.721585
Iztapalapa,Muy Alto,196949.1248,1914.642045
Iztapalapa,Muy Alto,334787.9269,3578.809783
Iztapalapa,Muy Bajo,198098.04,2840.391374
Iztapalapa,Muy Alto,49338.84094,885.6300545
Iztapalapa,Muy Alto,241546.2114,2363.021011
Iztapalapa,Muy Bajo,194394.9906,1951.734511
Iztapalapa,Muy Alto,74213.1263,1246.435172
Iztapalapa,Muy Alto,118590.9283,1536.651493
Iztapalapa,Muy Alto,137924.6447,1860.014203
Iztapalapa,Muy Alto,136670.316,1989.039394
Álvaro Obregón,Muy Bajo,1050325.001,5046.931934
Tláhuac,Muy Alto,395016.1981,3006.232066
Iztapalapa,Muy Alto,182727.3873,1921.67498
Iztapalapa,Alto,189709.2035,1770.389733
Iztapalapa,Muy Alto,11058.7541,423.8312435
Milpa Alta,Muy Bajo,164881.9771,1745.122729
Iztapalapa,Muy Bajo,140708.9766,1663.397801
Iztapalapa,Muy Alto,19665.80718,572.3430943
La Magdalena Contreras,Muy Bajo,502669.1198,3918.186364
La Magdalena Contreras,Muy Bajo,42883.04715,851.9836924
Iztapalapa,Muy Alto,331792.2784,2687.613369
Álvaro Obregón,Muy Bajo,113868.6025,1939.33373
Iztapalapa,Muy Alto,89903.83632,1284.567709
Iztapalapa,Muy Alto,648205.5825,3600.419361
Iztapalapa,Muy Alto,69836.27158,1340.430913
Iztapalapa,Muy Alto,239508.5717,2130.145677
Iztacalco,Muy Alto,530003.0106,3001.572612
Iztapalapa,Muy Alto,342083.5459,3118.032561
Iztapalapa,Muy Alto,275219.9027,3014.186841
Iztapalapa,Muy Alto,206814.3605,2431.657677
Álvaro Obregón,Muy Bajo,791608.7431,6621.539192
Iztapalapa,Muy Alto,91482.93106,1348.496634
Milpa Alta,Muy Bajo,1310591.855,7908.254643
Iztacalco,Muy Alto,46465.35671,1043.855431
Iztacalco,Muy Alto,213692.5295,2581.489515
Iztapalapa,Muy Alto,273396.9271,2483.423938
Iztapalapa,Muy Bajo,171557.797,2325.920461
Iztapalapa,Muy Alto,345571.9036,3191.546512
Coyoacán,Muy Alto,298439.7551,3333.627212
Coyoacán,Muy Bajo,89962.57104,1712.295015
Coyoacán,Muy Alto,108050.0386,1460.692213
Azcapotzalco,Muy Alto,262410.3015,2426.096976
Azcapotzalco,Muy Alto,1928335.329,6847.79528
Gustavo A. Madero,Alto,537838.5632,4243.06193
Cuajimalpa de Morelos,Muy Bajo,1206603.541,8836.192629
Azcapotzalco,Alto,138826.4876,1669.180978
Coyoacán,Muy Alto,272172.2211,2249.606264
Álvaro Obregón,Muy Bajo,2252505.097,10717.74583
Iztapalapa,Muy Alto,94486.06585,1368.931126
Cuajimalpa de Morelos,Muy Bajo,284074.916,2859.770341
Iztapalapa,Bajo,104703.8669,1389.950938
Iztapalapa,Muy Alto,129109.5356,1679.603059
Milpa Alta,Muy Bajo,851475.6006,4829.838214
Milpa Alta,Muy Bajo,118264.6032,3136.048529
Coyoacán,Muy Alto,144622.0987,1859.112509
Coyoacán,Muy Alto,577234.1086,3468.203493
Milpa Alta,Muy Bajo,522798.1684,3122.513125
Venustiano Carranza,Muy Alto,196331.6644,2637.904626
Azcapotzalco,Alto,568868.0805,3052.608674
Venustiano Carranza,Muy Alto,201322.8186,1848.860256
Azcapotzalco,Muy Alto,93309.79528,1552.237027
Miguel Hidalgo,Alto,164781.165,2083.48313
Miguel Hidalgo,Muy Bajo,125288.5874,1497.928829
Coyoacán,Medio,302384.7565,2788.253417
Azcapotzalco,Muy Alto,146458.7668,1699.16543
Coyoacán,Muy Alto,473598.1044,3402.326559
Gustavo A. Madero,Muy Alto,363140.2532,2967.102871
Azcapotzalco,Alto,164250.2611,1800.990935
Azcapotzalco,Muy Alto,451996.8657,3090.871267
Azcapotzalco,Alto,195310.5211,2292.81535
Álvaro Obregón,Muy Bajo,98914.9033,2665.031472
Iztapalapa,Muy Alto,241232.2839,1965.212627
Iztapalapa,Muy Alto,531392.9597,3041.77767
Coyoacán,Muy Alto,284019.5257,4217.893595
Álvaro Obregón,Muy Bajo,163955.6409,2514.355023
Milpa Alta,Muy Bajo,1243672.874,6223.298068
Azcapotzalco,Alto,364787.9995,3504.01832
Azcapotzalco,Alto,72142.10035,1618.22165
Milpa Alta,Muy Bajo,118264.6032,3136.048529
Coyoacán,Muy Bajo,306276.6548,4529.448952
La Magdalena Contreras,Muy Bajo,55214.92617,1152.808601
Iztapalapa,Muy Bajo,1341018.989,6185.931856
Gustavo A. Madero,Muy Alto,221978.5006,2337.632958
Milpa Alta,Muy Bajo,1564366.286,7323.23334
Cuajimalpa de Morelos,Muy Bajo,218480.9924,2625.130694
La Magdalena Contreras,Muy Bajo,552195.7353,3352.455814
Coyoacán,Muy Alto,212511.9314,2010.508202
Venustiano Carranza,Muy Alto,71550.56385,1192.299671
Venustiano Carranza,Muy Alto,216194.5091,2055.355906
Miguel Hidalgo,Alto,231387.1309,2927.905713
Azcapotzalco,Muy Alto,93309.79528,1552.237027
Venustiano Carranza,Muy Alto,51611.60155,1013.973295
Miguel Hidalgo,Muy Alto,371709.1208,2955.290251
Azcapotzalco,Muy Alto,749522.4716,4038.377494
Venustiano Carranza,Muy Alto,96861.57418,1538.890221
Miguel Hidalgo,Muy Bajo,80567.99279,1181.66754
Venustiano Carranza,Muy Alto,173061.4555,1993.471754
Benito Juárez,Muy Alto,377257.8521,2535.064118
Miguel Hidalgo,Muy Bajo,38495.7502,786.0775708
Cuauhtémoc,Muy Alto,225968.8322,1903.179968
Cuauhtémoc,Muy Alto,172318.4068,3553.263553
Venustiano Carranza,Muy Alto,207197.2495,1899.182894
Miguel Hidalgo,Muy Alto,79714.04425,1151.904136
Benito Juárez,Muy Alto,312467.7647,2776.115393
Miguel Hidalgo,Medio,382174.7871,2838.848593
Cuauhtémoc,Muy Alto,172450.5227,1723.344046
Cuauhtémoc,Muy Alto,305726.5122,2223.906345
Cuauhtémoc,Muy Alto,162789.6262,1632.285868
Cuauhtémoc,Muy Alto,391659.9966,2547.730212
Cuauhtémoc,Muy Alto,202360.6448,2190.992761
Benito Juárez,Muy Alto,296029.4831,3075.71611
Cuauhtémoc,Alto,166155.1401,1807.259697
Cuauhtémoc,Muy Alto,98865.74783,1271.894898
Cuauhtémoc,Muy Alto,163169.4189,1663.21469
Gustavo A. Madero,Muy Alto,192113.9857,1855.873436
Gustavo A. Madero,Muy Alto,414597.3341,2913.954317
Gustavo A. Madero,Alto,113459.6576,1458.544105
Gustavo A. Madero,Muy Alto,570674.1219,3137.287374
Gustavo A. Madero,Muy Alto,111882.1541,1733.131017
Iztacalco,Muy Alto,89323.90599,1562.711293
Cuauhtémoc,Muy Alto,165954.1126,1637.423353
Gustavo A. Madero,Muy Alto,302450.1181,2391.341261
Gustavo A. Madero,Bajo,147629.9471,1809.45812
Gustavo A. Madero,Muy Alto,213055.0591,2401.831364
Gustavo A. Madero,Alto,213525.0608,2090.253146
Iztacalco,Muy Alto,115762.6702,1370.914805
Cuauhtémoc,Muy Alto,105352.0984,1641.596591
Miguel Hidalgo,Muy Bajo,321319.0552,3348.199738
Miguel Hidalgo,Muy Bajo,116071.0363,1592.969318
Cuauhtémoc,Muy Alto,228170.5978,1922.93322
Venustiano Carranza,Muy Alto,260018.6144,2603.398085
Miguel Hidalgo,Muy Bajo,126042.1977,1673.478762
Cuauhtémoc,Muy Alto,221640.8342,2293.684461
Venustiano Carranza,Muy Alto,137108.3734,2615.992633
Miguel Hidalgo,Muy Alto,141909.4085,2824.778596
Miguel Hidalgo,Alto,406194.1807,3399.682923
Cuauhtémoc,Muy Alto,280301.6677,2168.446111
Miguel Hidalgo,Bajo,151612.9967,1702.548449
Venustiano Carranza,Alto,205028.0004,2022.603237
Gustavo A. Madero,Muy Alto,205228.3904,2065.323963
Iztapalapa,Bajo,276227.3109,3047.528059
Tlalpan,Muy Alto,196947.1674,1940.260624
Tlalpan,Muy Bajo,164532.3242,1719.937152
Tlalpan,Muy Bajo,293069.8224,2467.972249
Tlalpan,Muy Alto,440906.0728,2747.014824
Iztapalapa,Muy Alto,217009.3922,1999.943513
Iztapalapa,Muy Alto,350414.1686,2827.416617
Xochimilco,Muy Bajo,626179.583,4211.927315
Tlalpan,Muy Bajo,1354800.903,4958.214654
Tlalpan,Muy Bajo,186783.2046,2610.175707
Coyoacán,Muy Bajo,102549.6402,1697.363942
Gustavo A. Madero,Muy Alto,155027.8625,1587.061604
Gustavo A. Madero,Muy Alto,194184.6221,1999.291688
Iztacalco,Muy Alto,80841.25852,1371.667193
Iztacalco,Muy Alto,114909.4673,1533.773325
Gustavo A. Madero,Muy Alto,139184.9293,1897.044032
Iztacalco,Muy Alto,264535.5528,2375.167625
Gustavo A. Madero,Muy Alto,305570.3288,2363.627282
Gustavo A. Madero,Muy Alto,85928.90614,1204.84538
Coyoacán,Muy Bajo,66488.39015,1042.364268
Coyoacán,Muy Alto,514543.0106,4244.623308
Coyoacán,Alto,282602.2453,2551.224575
Gustavo A. Madero,Muy Bajo,231863.3148,2290.670866
Gustavo A. Madero,Muy Alto,221956.5266,1930.163912
Azcapotzalco,Muy Alto,77402.78004,1256.214671
Gustavo A. Madero,Bajo,150619.3281,1962.775607
Gustavo A. Madero,Muy Bajo,177174.0203,2440.883629
Gustavo A. Madero,Muy Alto,102667.2888,1338.172442
Gustavo A. Madero,Muy Bajo,191351.4761,2417.185285
Coyoacán,Muy Alto,309682.1183,2774.566049
Coyoacán,Muy Alto,360003.523,3572.036457
Iztacalco,Muy Alto,70630.47049,1169.303674
Gustavo A. Madero,Muy Alto,210111.0493,2546.396873
Gustavo A. Madero,Muy Alto,149013.4428,1709.829811
Gustavo A. Madero,Muy Alto,267629.2331,2582.34743
Gustavo A. Madero,Muy Alto,378425.4621,2768.123973
Iztacalco,Muy Alto,264703.5828,2541.374142
Gustavo A. Madero,Muy Alto,231240.478,1963.230592
Gustavo A. Madero,Muy Bajo,206495.8924,2877.650991
Iztacalco,Muy Alto,152617.9283,1846.166974
Iztacalco,Muy Alto,140479.7236,1689.806738
Gustavo A. Madero,Muy Alto,169218.9122,2220.059078
Azcapotzalco,Muy Alto,218987.3407,2527.818465
Azcapotzalco,Muy Alto,156423.4329,2088.045637
Coyoacán,Muy Alto,135459.4576,1525.682315
Gustavo A. Madero,Bajo,152840.3968,2161.361318
Coyoacán,Muy Alto,229206.1629,2615.862934
Cuajimalpa de Morelos,Muy Bajo,390174.1455,3969.949077
Gustavo A. Madero,Muy Bajo,1687782.158,7232.836744
Azcapotzalco,Muy Alto,223062.7127,2239.487478
Gustavo A. Madero,Alto,578005.867,3045.75698
Iztacalco,Muy Alto,114343.0601,1388.065519
Azcapotzalco,Muy Alto,316418.7758,2225.746044
Milpa Alta,Muy Bajo,254867.7486,2150.909105
Iztapalapa,Muy Alto,396807.939,2669.261781
Iztapalapa,Muy Alto,221246.0268,2008.203846
Gustavo A. Madero,Muy Alto,294276.4171,2813.5187
Tlalpan,Muy Bajo,179315.0435,2089.751991
Xochimilco,Muy Alto,48557.45324,1320.633226
Tlalpan,Muy Bajo,684947.7299,4658.259318
Tlalpan,Muy Bajo,621874.6467,3851.272182
Iztapalapa,Muy Alto,116017.9833,1385.698777
Tlalpan,Muy Bajo,272733.5282,2488.834002
Iztapalapa,Muy Alto,259859.1429,2399.372893
Tláhuac,Muy Alto,189810.7114,2225.584024
Tlalpan,Muy Bajo,4330112.931,9173.08627
Tlalpan,Muy Bajo,361378.6666,3268.655756
Tlalpan,Muy Alto,440906.0728,2747.014824
Tlalpan,Bajo,171251.6154,1677.117139
Tlalpan,Muy Alto,289567.7728,2340.412171
Tlalpan,Muy Bajo,11994.86894,439.9966475
Iztapalapa,Muy Alto,453391.8538,2793.626676
Tlalpan,Muy Alto,396131.0896,2919.688454
Iztapalapa,Muy Bajo,177251.6732,2366.044924
Iztapalapa,Medio,385076.0235,2913.145473
Iztapalapa,Muy Alto,45280.86425,935.0024466
Iztapalapa,Muy Alto,211213.9499,2444.314556
Azcapotzalco,Muy Alto,392212.151,2725.105604
Xochimilco,Muy Alto,861882.6148,4101.82095
Benito Juárez,Muy Bajo,300298.3094,2429.029793
Tlalpan,Muy Bajo,1188221.091,7549.93453
Álvaro Obregón,Muy Bajo,440440.3861,3818.493399
Álvaro Obregón,Muy Bajo,191362.6391,2893.236682
Álvaro Obregón,Muy Bajo,452299.4661,3235.557719
Xochimilco,Muy Bajo,498591.3586,2905.441392
Álvaro Obregón,Muy Bajo,217673.5278,2741.165585
Xochimilco,Muy Alto,381898.5054,2595.011079
Tlalpan,Muy Bajo,274919.8949,2441.450509
Benito Juárez,Muy Alto,263745.308,2021.395603
Álvaro Obregón,Muy Bajo,732656.1812,5727.037521
Álvaro Obregón,Muy Bajo,74748.90829,1503.635194
La Magdalena Contreras,Muy Bajo,441459.5585,3236.850761
Tláhuac,Alto,289123.418,2316.368751
Álvaro Obregón,Muy Bajo,238593.9165,2290.216774
Tláhuac,Muy Alto,52308.16082,940.0584538
Tláhuac,Muy Bajo,10605.43349,442.2039177
Tlalpan,Muy Bajo,939483.1504,4566.353474
Xochimilco,Muy Alto,788820.5375,4480.498977
Álvaro Obregón,Muy Bajo,215816.2064,2972.78134
Xochimilco,Muy Alto,258083.3778,2443.102473
Xochimilco,Alto,935238.2957,6527.153733
Tlalpan,Medio,158519.8017,2322.406223
Tlalpan,Muy Bajo,264538.6299,2087.972963
Iztapalapa,Muy Alto,150249.2774,1555.100865
Tláhuac,Muy Alto,375396.5613,3368.574989
Tláhuac,Alto,448554.7755,2959.438477
Álvaro Obregón,Muy Bajo,65407.99102,1305.807101
Tlalpan,Muy Alto,322923.7877,2656.545505
Tlalpan,Muy Bajo,246784.3493,1903.725402
Tlalpan,Medio,244721.0127,2180.10094
Álvaro Obregón,Muy Bajo,471357.4823,4092.739456
Tláhuac,Muy Alto,191438.5657,2535.448396
Tláhuac,Muy Alto,416646.023,2646.515488
Milpa Alta,Muy Bajo,77092.06857,1134.042656
Iztapalapa,Muy Alto,251966.1645,2090.005539
Milpa Alta,Muy Bajo,164881.9771,1745.122729
Álvaro Obregón,Muy Bajo,170500.7383,2473.104643
Milpa Alta,Muy Bajo,405892.0853,3893.238471
Álvaro Obregón,Muy Bajo,121000.3957,2246.786536
Iztapalapa,Muy Alto,129996.605,1578.040462
Iztapalapa,Muy Bajo,58855.00097,1314.680013
Iztapalapa,Muy Alto,22371.80996,744.9146803
Iztapalapa,Muy Alto,563217.4361,3249.09281
Iztapalapa,Muy Alto,275219.9027,3014.186841
Iztapalapa,Muy Alto,239508.5717,2130.145677
Iztapalapa,Muy Alto,36661.11458,1012.761031
Álvaro Obregón,Muy Bajo,251046.5809,3065.230119
Iztapalapa,Muy Alto,303792.8955,2456.041246
Iztapalapa,Muy Alto,111465.4511,1515.069484
Iztapalapa,Muy Alto,273396.9271,2483.423938
Iztacalco,Muy Alto,182895.0193,1961.911397
Iztapalapa,Muy Bajo,204376.4956,2433.663805
Iztapalapa,Medio,209673.9604,2530.717123
Iztapalapa,Alto,202339.9336,2133.352114
Iztapalapa,Muy Alto,97867.94979,1463.541757
Iztapalapa,Muy Alto,117576.357,1434.969294
Iztapalapa,Muy Alto,205040.3911,1908.923419
Xochimilco,Alto,393985.5297,2690.884416
Tlalpan,Muy Bajo,241772.5945,2794.309186
Xochimilco,Muy Alto,308962.7317,2735.3019
Venustiano Carranza,Muy Alto,81282.12121,1132.309068
Cuauhtémoc,Muy Alto,162731.8944,1631.865723
Cuauhtémoc,Muy Alto,481343.6575,3451.399249
Cuauhtémoc,Muy Alto,285511.3359,3019.935858
Benito Juárez,Muy Alto,461214.4008,4143.42441
Iztacalco,Muy Alto,305908.6645,3422.80412
Iztacalco,Muy Alto,298738.4633,2824.14984
Cuauhtémoc,Muy Alto,267550.7169,2448.706296
Gustavo A. Madero,Muy Alto,235267.5419,2033.470236
Cuauhtémoc,Muy Alto,448129.1198,3055.656337
Iztacalco,Muy Alto,175370.1827,2369.896829
