anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
2021,3,Septiembre,P09-1219069,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,000",30/12/19,28/12/26,2555,1915,2000000000,0,178942477.8,67428524.2,246371002,1821057522,-178942477.8,TIIE,0.2,TIIE+0.20
2021,3,Septiembre,P09-0720076,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,000",31/07/20,31/07/30,3652,3226,2000000000,0,150000000,68565610.33,218565610.4,1766666667,-150000000,TIIE,0.46,TIIE+0.46
2021,3,Septiembre,P09-0720077,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,300-20",31/07/20,31/07/30,3652,3226,2300000000,0,172500000,80623853.03,253123853.1,2031666667,-172500000,TIIE,0.57,TIIE+0.57
2021,3,Septiembre,P09-1220098,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,500",11/12/20,25/11/30,3636,3343,2500000000,0,189075630.2,96721107.67,285796737.9,2310924370,-189075630.2,TIIE,0.53,TIIE+0.53
2021,3,Septiembre,P09-1220099,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,683",11/12/20,25/11/30,3636,3343,2683529136,0,202955985.1,106122709.2,309078694.3,2480573151,-202955985.1,TIIE,0.64,TIIE+0.64
2021,3,Septiembre,P09-0721036,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,200",13/07/21,11/07/31,3650,3571,2200000000,2200000000,0,23705641.67,23705641.67,2200000000,2200000000,TIIE,0.48,TIIE+0.48
2021,3,Septiembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,"BANOBRAS 2,138",12/11/12,25/11/32,7318,4074,2138648319,0,0,129258122.2,129258122.2,2138648319,0,7.09,0.88,7.97
2021,3,Septiembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 294,30/11/12,25/11/32,7300,4074,294874160,0,0,17665419.5,17665419.5,294874160,0,7.02,0.88,7.9
2021,3,Septiembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 196,07/11/13,25/11/32,6958,4074,196783977,0,0,12803749.47,12803749.47,196783977,0,7.7,0.88,8.58
2021,3,Septiembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,17/12/07,22/11/27,7280,2244,575000000,0,0,25145069.44,25145069.44,575000000,0,8.65,n/a,8.65
2021,3,Septiembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB10-2,25/06/10,12/06/20,3640,0,2520951200,0,0,0,0,0,0,7.09,n/a,7.09
2021,3,Septiembre,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,30/11/12,12/11/27,5460,2234,2500000000,0,0,86576388.89,86576388.89,2500000000,0,6.85,n/a,6.85
2021,3,Septiembre,P09-1113146,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 13,28/11/13,16/11/23,3640,777,2126874900,0,0,75805366.23,75805366.23,2126874900,0,7.05,n/a,7.05
2021,3,Septiembre,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,03/11/14,21/10/24,3640,1117,2500000000,0,0,81141666.67,81141666.67,2500000000,0,6.42,n/a,6.42
2021,3,Septiembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,25/09/15,12/09/25,3640,1443,2500000000,0,0,169361111.1,169361111.1,2500000000,0,6.7,n/a,6.7
2021,3,Septiembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,25/09/15,18/09/20,1820,0,1382000000,0,0,0,0,0,0,TIIE,0.12,TIIE+0.12
2021,3,Septiembre,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,09/12/16,03/12/21,1820,64,1000000000,0,0,37396388.9,37956388.88,1000000000,0,TIIE,0.42,TIIE+0.42
2021,3,Septiembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,19/09/17,07/03/28,3822,2350,2000000000,0,0,153688888.9,153688888.9,2000000000,0,7.6,n/a,7.6
2021,3,Septiembre,P09-1118104,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 18V,21/11/18,08/11/28,3640,2596,1100000000,0,0,55221833.33,55221833.33,1100000000,0,9.93,n/a,9.93
2021,3,Septiembre,P09-1219057,Largo Plazo,Mercado de Capitales,CI BANCO,BONO CDMXCB 19,03/12/19,20/11/29,3640,2973,1500000000,0,0,59301666.67,59301666.67,1500000000,0,7.82,n/a,7.82
2021,4,Diciembre,224/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,457",30/08/07,27/07/37,10924,5687,3457974221,0,27170124.37,165485044.6,192655169,3321651902,-27170124.37,TIIE,0.35,TIIE+0.35
2021,4,Diciembre,225/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 7,000",31/08/07,27/08/40,12050,6814,7000000000,0,137207139.3,546266198.4,683473337.7,5989325435,-137207139.3,8.91,n/a,8.91
2021,4,Diciembre,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",31/08/07,27/07/37,10923,5687,4700000000,0,36929015.79,407193199.9,444122215.7,4514713801,-36929015.79,8.8,n/a,8.8
2021,4,Diciembre,233/2007,Largo Plazo,Banca Comercial,HSBC,"HSBC 7,000",07/09/07,25/09/47,14628,9399,7000000000,0,0,359951394.4,359951394.4,7000000000,0,TIIE,0.53,TIIE+0.53
2021,4,Diciembre,721/2011,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 1,500",29/12/11,28/12/26,5478,1823,1500000000,0,80838324,42767194.08,123605518.1,772455084,-80838324,TIIE,TIIE-1.815,TIIE+TIIE-1.815
2021,4,Diciembre,P09-1213198,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 3,500",31/12/13,26/12/23,3647,725,3500000000,0,437500000.1,64385659.69,501885659.8,874999999.5,-437500000.1,5.74,n/a,5.74
2021,4,Diciembre,P09-1214242,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 2,500",26/12/14,26/12/24,3653,1091,2500000000,0,312500000,64238281.25,376738281.3,937499999.8,-312500000,5.75,n/a,5.75
